carryingcap_is,carryingcap_main,crown_age,init_n_main_cls,init_n_main_sps,ana,clado_is,clado_main,ext_is,ext_main,mig_to_is,rng_seed,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,17,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,0.102945,0.0075522,3.00002,0.00090683,0.248173,-132.605,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,17,0.0973437,0.0304029,3.00001,0.000951761,0.229968,-126.466,5,0,0.0692853,0.00676221,4.71364,0.00104259,24.1219,-143.341,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,18,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0808489,2.32486e-07,5.60439,0.00100717,0.217296,-161.81,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,18,0.0509396,1.72961e-05,2.28871e+06,0.000936727,0.204983,-148.424,5,0,0.0808489,2.32486e-07,5.60439,0.00100717,0.217296,-161.81,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,18,0.0509396,1.72961e-05,2.28871e+06,0.000936727,0.204983,-148.424,5,0,0.0808489,2.32486e-07,5.60439,0.00100717,0.217296,-161.81,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,18,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.0617464,7.98572e-07,21.5492,0.000868905,0.533398,-137.853,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,19,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.142081,1.38078e-05,4.99987,0.000934066,0.396515,-153.84,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,19,NA
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,19,0.0509396,1.72961e-05,2.28871e+06,0.000936727,0.204983,-148.424,5,0,0.142081,1.38078e-05,4.99987,0.000934066,0.396515,-153.84,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,19,0.0473228,1.6281e-06,6.07316,0.000933857,0.105054,-146.15,5,0,0.0653912,0.0535431,1.09907e+06,0.00116632,0.442306,-131.768,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,20,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0563832,7.08546e-06,31,0.00106759,0.460216,-166.551,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,20,0.110042,1.33535e-08,3.81312,0.000869216,0.279743,-145.166,5,0,0.0754656,0.0192731,3.00001,0.00119954,0.513275,-150.28,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,20,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.0653765,0.101732,5.9729e+06,0.00197452,0.421614,-159.158,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,20,0.0497934,9.41441e-09,22.0866,0.000867074,0.47748,-131.906,5,0,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,21,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0924634,8.69988e-06,23.7488,0.000731946,0.199792,-136.005,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,21,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0578402,1.53286e-08,3.37159,0.00107027,0.156317,-156.288,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,21,0.110042,1.33535e-08,3.81312,0.000869216,0.279743,-145.166,5,0,0.0687906,1.02951e-06,131968,0.000865001,0.198103,-155.515,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,21,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.0617464,7.98572e-07,21.5492,0.000868905,0.533398,-137.853,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,22,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0578402,1.53286e-08,3.37159,0.00107027,0.156317,-156.288,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,22,0.0509396,1.72961e-05,2.28871e+06,0.000936727,0.204983,-148.424,5,0,13.4658,5.37919e-09,1.00377,0.000939992,0.248227,-136.155,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,22,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.0430767,0.033645,4.1873,0.00132215,0.257704,-147.425,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,22,0.0666523,3.28795e-07,8.0095,0.00100077,0.163002,-156.603,5,0,0.0538942,0.00500273,inf,0.000960616,0.253453,-145.917,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,23,0.0509396,1.72961e-05,2.28871e+06,0.000936727,0.204983,-148.424,5,0,0.06587,1.80417e-05,20.9855,0.000932796,0.214273,-153.686,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,23,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0536563,0.00436153,200311,0.000956941,0.242663,-147.098,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,23,0.110042,1.33535e-08,3.81312,0.000869216,0.279743,-145.166,5,0,0.187292,1.04995e-06,3.56147,0.000734678,0.327548,-123.019,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,23,0.110042,1.33535e-08,3.81312,0.000869216,0.279743,-145.166,5,0,39.354,0.0577002,1.00113,0.00152335,8879.84,-137.952,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,24,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.184448,0.174493,6.75596,0.00199493,0.280872,-143.424,5,0
